facility_id,admin_area_1,admin_area_2,admin_area_3,admin_area_4
amGR2t96pvc,République centrafricaine,RS 7,Préfecture Bangui,District Bangui 3
amlWZ6F7fQF,République centrafricaine,RS 7,Préfecture Bangui,District Bangui 3
anaFHtzwrgW,République centrafricaine,RS 1,Préfecture Lobaye,District Mbaiki
aOf8d6LjXx6,République centrafricaine,RS 2,Préfecture MambereKadei,District Carnot-Gadzi
aoiNHxkthxe,République centrafricaine,RS 6,Préfecture Basse-Kotto,District Kembe-Satema
apIPftVX9jI,République centrafricaine,RS 4,Préfecture Nana-Gribizi,District Nana-Gribizi
aPmBlxPzgfk,République centrafricaine,RS 2,Préfecture MambereKadei,District Berberati
aQdpPMA1PQq,République centrafricaine,RS 3,Préfecture Ouham-Pende,District Bocaranga-Koui
AqJjIcwXn5P,République centrafricaine,RS 3,Préfecture Ouham,District Batangafo-Kabo
aR7kE1QfKDX,République centrafricaine,RS 1,Préfecture Ombella-Mpoko,District Bossembele
arec3FxxWV5,République centrafricaine,RS 2,Préfecture MambereKadei,District Gamboula
ArvaVTadhWi,République centrafricaine,RS 7,Préfecture Bangui,"District Bangui 1  "
aS23HZ8o8eE,République centrafricaine,RS 5,Préfecture Vakaga,District Vakaga
asnxR0taErm,République centrafricaine,RS 3,Préfecture Ouham,District Nangha-Boguila
AsVsxP0OWzU,République centrafricaine,RS 6,Préfecture Haut-Mbomou,District Haut-Mbomou
asxLG8QioPk,République centrafricaine,RS 4,Préfecture Ouaka,District Bambari
aveaA0l4bPL,République centrafricaine,RS 1,Préfecture Ombella-Mpoko,District Begoua
AvnID6PZsUd,République centrafricaine,RS 4,Préfecture Nana-Gribizi,District Nana-Gribizi
awBkczptvEd,République centrafricaine,RS 6,Préfecture Mbomou,District Bangassou
aweRlexsols,République centrafricaine,RS 6,Préfecture Basse-Kotto,District Mobaye-Zangba
AwR0Vje1zi9,République centrafricaine,RS 1,Préfecture Ombella-Mpoko,District Begoua
AxfgryJSvBx,République centrafricaine,RS 4,Préfecture Ouaka,District Kouango-Grimari
axr4xubg8pT,République centrafricaine,RS 6,Préfecture Basse-Kotto,District Kembe-Satema
aXXpag6olY3,République centrafricaine,RS 6,Préfecture Haut-Mbomou,District Haut-Mbomou
aYRPx44ZZqQ,République centrafricaine,RS 6,Préfecture Haut-Mbomou,District Haut-Mbomou
AzPC8M7KYfF,République centrafricaine,RS 1,Préfecture Lobaye,District Mbaiki
b0oS9VARwJZ,République centrafricaine,RS 6,Préfecture Mbomou,District Ouango-Gambo
b2kAbYsmOUb,République centrafricaine,RS 4,Préfecture Nana-Gribizi,District Nana-Gribizi
